State,County,Year,Observed
Georgia,Echols County,2002,34.9
Georgia,Effingham County,2002,43.5
Georgia,Elbert County,2002,35.4
Georgia,Emanuel County,2002,34.0
Georgia,Evans County,2002,37.8
Georgia,Fannin County,2002,32.1
Georgia,Fayette County,2002,57.8
Georgia,Floyd County,2002,36.4
Georgia,Forsyth County,2002,55.7
Georgia,Franklin County,2002,33.0
Georgia,Fulton County,2002,59.2
Georgia,Georgia,2002,47.3
Georgia,Gilmer County,2002,37.5
Georgia,Glascock County,2002,33.9
Georgia,Glynn County,2002,51.6
Georgia,Gordon County,2002,33.5
Georgia,Grady County,2002,35.3
Georgia,Greene County,2002,40.7
Georgia,Gwinnett County,2002,54.1
Georgia,Habersham County,2002,35.4
Georgia,Hall County,2002,42.2
Georgia,Hancock County,2002,35.2
Georgia,Haralson County,2002,34.0
Georgia,Harris County,2002,45.8
Georgia,Hart County,2002,36.7
Georgia,Heard County,2002,39.0
Georgia,Henry County,2002,45.6
Georgia,Houston County,2002,44.0
Georgia,Irwin County,2002,33.7
Georgia,Jackson County,2002,39.0
Georgia,Jasper County,2002,39.9
Georgia,Jeff Davis County,2002,26.6
Georgia,Jefferson County,2002,33.7
Georgia,Jenkins County,2002,31.6
Georgia,Johnson County,2002,27.1
Georgia,Jones County,2002,42.0
Georgia,Lamar County,2002,38.9
Georgia,Lanier County,2002,33.1
Georgia,Laurens County,2002,33.4
Georgia,Lee County,2002,45.3
Georgia,Liberty County,2002,44.0
Georgia,Lincoln County,2002,35.0
Georgia,Long County,2002,33.4
Georgia,Lowndes County,2002,46.1
Georgia,Lumpkin County,2002,43.2
Georgia,Macon County,2002,34.1
Georgia,Madison County,2002,36.0
Georgia,Marion County,2002,37.7
Georgia,McDuffie County,2002,36.6
Georgia,McIntosh County,2002,40.3
Georgia,Meriwether County,2002,39.6
Georgia,Miller County,2002,36.7
Georgia,Mitchell County,2002,33.8
Georgia,Monroe County,2002,42.8
Georgia,Montgomery County,2002,30.1
Georgia,Morgan County,2002,42.6
Georgia,Murray County,2002,30.8
Georgia,Muscogee County,2002,50.9
Georgia,Newton County,2002,43.8
Georgia,Oconee County,2002,51.4
Georgia,Oglethorpe County,2002,38.5
Georgia,Paulding County,2002,44.4
Georgia,Peach County,2002,40.9
Georgia,Pickens County,2002,42.9
Georgia,Pierce County,2002,28.6
Georgia,Pike County,2002,36.1
Georgia,Polk County,2002,32.1
Georgia,Pulaski County,2002,36.2
Georgia,Putnam County,2002,45.2
Georgia,Quitman County,2002,35.4
