year,state,avg_alcohol_consumption,bigfoot_sightings
2008.0,MISSOURI,48.375,3
2008.0,NEW HAMPSHIRE,67.04545454545455,1
2008.0,NEW JERSEY,61.13636363636363,2
2008.0,NEW MEXICO,49.34705882352941,1
2008.0,NORTH CAROLINA,43.03168316831683,3
2008.0,OHIO,52.41348314606742,3
2008.0,OKLAHOMA,42.333333333333336,4
2008.0,OREGON,57.35405405405405,6
2008.0,PENNSYLVANIA,56.65,2
2008.0,SOUTH DAKOTA,58.04925373134328,2
2008.0,TENNESSEE,31.123958333333334,4
2008.0,TEXAS,46.323921568627455,1
2008.0,UTAH,28.12,2
2008.0,VIRGINIA,48.32923076923077,2
2008.0,WASHINGTON,57.217499999999994,24
2008.0,WEST VIRGINIA,33.61607142857143,7
2008.0,WISCONSIN,68.48219178082192,3
2008.0,WYOMING,59.17916666666667,1
2009.0,ALABAMA,35.68088235294118,1
2009.0,ALASKA,54.05833333333334,1
2009.0,ARIZONA,52.43125,3
2009.0,ARKANSAS,40.372368421052634,1
2009.0,CALIFORNIA,57.5728813559322,5
2009.0,COLORADO,62.278688524590166,5
2009.0,CONNECTICUT,66.96666666666667,1
2009.0,FLORIDA,50.53970588235294,10
2009.0,GEORGIA,39.81875,9
2009.0,IDAHO,47.18666666666667,2
2009.0,ILLINOIS,54.2116504854369,11
2009.0,INDIANA,49.087096774193554,3
2009.0,IOWA,59.909,3
2009.0,KANSAS,50.825471698113205,1
2009.0,KENTUCKY,32.05785123966942,3
2009.0,MASSACHUSETTS,67.23333333333333,3
2009.0,MICHIGAN,58.75357142857143,6
2009.0,MINNESOTA,62.61590909090909,4
2009.0,MISSOURI,47.57327586206897,3
2009.0,NEW MEXICO,49.108823529411765,2
2009.0,NEW YORK,62.06666666666666,3
2009.0,NORTH CAROLINA,43.12376237623762,3
2009.0,OHIO,51.58988764044944,7
2009.0,OKLAHOMA,42.43974358974359,8
2009.0,OREGON,58.27567567567567,5
2009.0,PENNSYLVANIA,57.35735294117647,1
2009.0,SOUTH CAROLINA,42.92127659574468,1
2009.0,TENNESSEE,29.286458333333332,3
2009.0,TEXAS,46.757254901960785,3
2009.0,UTAH,27.65,1
2009.0,WASHINGTON,57.972500000000004,10
2009.0,WEST VIRGINIA,32.526785714285715,7
2010.0,ALABAMA,36.86176470588235,2
2010.0,ARIZONA,52.3125,4
2010.0,ARKANSAS,40.10526315789474,3
2010.0,CALIFORNIA,58.08983050847458,5
2010.0,COLORADO,62.63770491803279,1
2010.0,DELAWARE,57.425,1
2010.0,FLORIDA,51.883823529411764,8
2010.0,GEORGIA,40.761250000000004,1
2010.0,IDAHO,46.82,1
2010.0,ILLINOIS,54.44174757281554,12
2010.0,INDIANA,49.376344086021504,2
2010.0,IOWA,59.511,3
2010.0,KENTUCKY,34.16942148760331,7
2010.0,LOUISIANA,46.18,1
2010.0,MASSACHUSETTS,67.33333333333333,2
2010.0,MICHIGAN,59.04761904761905,5
2010.0,MINNESOTA,62.31704545454545,2
2010.0,MISSISSIPPI,37.54096385542169,1
2010.0,MISSOURI,47.3853448275862,3
2010.0,MONTANA,61.07017543859649,2
2010.0,NEW JERSEY,61.76818181818182,1
2010.0,NEW MEXICO,48.78235294117647,1
2010.0,NEW YORK,61.95714285714286,4
2010.0,NORTH CAROLINA,43.09405940594059,3
2010.0,OHIO,51.577528089887636,8
2010.0,OKLAHOMA,41.92307692307692,2
2010.0,OREGON,59.30540540540541,2
2010.0,PENNSYLVANIA,56.95294117647059,1
2010.0,RHODE ISLAND,68.45,1
2010.0,TENNESSEE,31.020833333333332,2
2010.0,TEXAS,46.39137254901961,4
2010.0,VIRGINIA,47.53692307692308,2
2010.0,WASHINGTON,59.154999999999994,16
2010.0,WEST VIRGINIA,32.06428571428571,2
2010.0,WISCONSIN,67.64383561643835,2
2011.0,ALABAMA,38.98235294117647,1
2011.0,ARIZONA,52.81875,2
2011.0,ARKANSAS,40.171052631578945,4
2011.0,CALIFORNIA,58.97966101694916,1
2011.0,COLORADO,62.967213114754095,2
2011.0,FLORIDA,53.15735294117647,15
2011.0,GEORGIA,42.105624999999996,9
2011.0,IDAHO,46.922222222222224,3
2011.0,ILLINOIS,55.507766990291266,22
2011.0,INDIANA,50.76129032258065,1
2011.0,IOWA,60.68600000000001,2
2011.0,KANSAS,50.888679245283015,3
2011.0,KENTUCKY,35.54462809917355,3
2011.0,MARYLAND,58.536,1
2011.0,MICHIGAN,60.50952380952381,6
2011.0,MINNESOTA,63.39886363636364,2
2011.0,MISSOURI,47.470689655172414,2
2011.0,MONTANA,61.45263157894737,1
2011.0,NEW JERSEY,62.904545454545456,2
2011.0,NEW MEXICO,49.05882352941177,3
2011.0,NORTH CAROLINA,44.52079207920792,6
2011.0,OHIO,53.21011235955056,7
2011.0,OKLAHOMA,42.69871794871795,1
2011.0,OREGON,60.24054054054054,2
2011.0,PENNSYLVANIA,57.64411764705883,1
2011.0,TENNESSEE,33.47083333333333,3
2011.0,TEXAS,47.16078431372549,7
2011.0,VIRGINIA,48.933076923076925,7
2011.0,WASHINGTON,59.717499999999994,16
2011.0,WEST VIRGINIA,33.48392857142857,1
2011.0,WISCONSIN,68.60958904109589,3
2012.0,ALABAMA,37.85,6
